,name,type,end_url,sprite_url
0,abomasnow,grass,abomasnow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/460.png
1,abomasnow,grass,abomasnow-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10060.png
2,abra,psychic,abra,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png
3,absol,dark,absol,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/359.png
4,absol,dark,absol-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10057.png
5,accelgor,bug,accelgor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/617.png
6,aegislash,steel,aegislash-blade,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10026.png
7,aegislash,steel,aegislash-shield,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/681.png
8,aerodactyl,rock,aerodactyl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png
9,aerodactyl,rock,aerodactyl-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10042.png
10,aggron,steel,aggron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/306.png
11,aggron,steel,aggron-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10053.png
12,aipom,normal,aipom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png
13,alakazam,psychic,alakazam,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png
14,alakazam,psychic,alakazam-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10037.png
15,alcremie,fairy,alcremie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/869.png
16,alcremie,fairy,alcremie-gmax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10223.png
17,alomomola,water,alomomola,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/594.png
18,altaria,dragon,altaria,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/334.png
19,altaria,dragon,altaria-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10067.png
20,amaura,rock,amaura,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/698.png
21,ambipom,normal,ambipom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/424.png
22,amoonguss,grass,amoonguss,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/591.png
23,ampharos,electric,ampharos,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png
24,ampharos,electric,ampharos-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10045.png
25,annihilape,fighting,annihilape,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/979.png
26,anorith,rock,anorith,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/347.png
27,appletun,grass,appletun,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/842.png
28,appletun,grass,appletun-gmax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10217.png
29,applin,grass,applin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/840.png
30,araquanid,water,araquanid,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/752.png
31,araquanid,water,araquanid-totem,
32,arbok,poison,arbok,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png
33,arboliva,grass,arboliva,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/930.png
34,arcanine,fire,arcanine,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png
35,arcanine,fire,arcanine-hisui,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10230.png
36,arceus,normal,arceus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/493.png
37,archaludon,steel,archaludon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1018.png
38,archen,rock,archen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/566.png
39,archeops,rock,archeops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/567.png
40,arctibax,dragon,arctibax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/997.png
41,arctovish,water,arctovish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/883.png
42,arctozolt,electric,arctozolt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/881.png
43,ariados,bug,ariados,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png
44,armaldo,rock,armaldo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/348.png
45,armarouge,fire,armarouge,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/936.png
46,aromatisse,fairy,aromatisse,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/683.png
47,aron,steel,aron,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/304.png
48,arrokuda,water,arrokuda,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/846.png
49,articuno,ice,articuno,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png
50,articuno,psychic,articuno-galar,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10169.png
51,audino,normal,audino,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/531.png
52,audino,normal,audino-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10069.png
53,aurorus,rock,aurorus,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/699.png
54,avalugg,ice,avalugg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/713.png
55,avalugg,ice,avalugg-hisui,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10243.png
56,axew,dragon,axew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/610.png
57,azelf,psychic,azelf,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/482.png
58,azumarill,water,azumarill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png
59,azurill,normal,azurill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/298.png
60,bagon,dragon,bagon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/371.png
61,baltoy,ground,baltoy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/343.png
62,banette,ghost,banette,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/354.png
63,banette,ghost,banette-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10056.png
64,barbaracle,rock,barbaracle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/689.png
65,barboach,water,barboach,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/339.png
66,barraskewda,water,barraskewda,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/847.png
67,basculegion,water,basculegion-female,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10248.png
68,basculegion,water,basculegion-male,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/902.png
69,basculin,water,basculin-blue-striped,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10016.png
70,basculin,water,basculin-red-striped,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/550.png
71,basculin,water,basculin-white-striped,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10247.png
72,bastiodon,rock,bastiodon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/411.png
73,baxcalibur,dragon,baxcalibur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/998.png
74,bayleef,grass,bayleef,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png
75,beartic,ice,beartic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/614.png
76,beautifly,bug,beautifly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/267.png
77,beedrill,bug,beedrill,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
78,beedrill,bug,beedrill-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10090.png
79,beheeyem,psychic,beheeyem,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/606.png
80,beldum,steel,beldum,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/374.png
81,bellibolt,electric,bellibolt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/939.png
82,bellossom,grass,bellossom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png
83,bellsprout,grass,bellsprout,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png
84,bergmite,ice,bergmite,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/712.png
85,bewear,normal,bewear,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/760.png
86,bibarel,normal,bibarel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/400.png
87,bidoof,normal,bidoof,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/399.png
88,binacle,rock,binacle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/688.png
89,bisharp,dark,bisharp,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/625.png
90,blacephalon,fire,blacephalon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/806.png
91,blastoise,water,blastoise,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
92,blastoise,water,blastoise-gmax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10197.png
93,blastoise,water,blastoise-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10036.png
94,blaziken,fire,blaziken,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/257.png
95,blaziken,fire,blaziken-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10050.png
96,blipbug,bug,blipbug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/824.png
97,blissey,normal,blissey,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/242.png
98,blitzle,electric,blitzle,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/522.png
99,boldore,rock,boldore,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/525.png
100,boltund,electric,boltund,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/836.png
101,bombirdier,flying,bombirdier,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/962.png
102,bonsly,rock,bonsly,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/438.png
103,bouffalant,normal,bouffalant,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/626.png
104,bounsweet,grass,bounsweet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/761.png
105,braixen,fire,braixen,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/654.png
106,brambleghast,grass,brambleghast,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/947.png
107,bramblin,grass,bramblin,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/946.png
108,braviary,normal,braviary,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/628.png
109,braviary,psychic,braviary-hisui,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10240.png
110,breloom,grass,breloom,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/286.png
111,brionne,water,brionne,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/729.png
112,bronzong,steel,bronzong,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/437.png
113,bronzor,steel,bronzor,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/436.png
114,brute,grass,brute-bonnet,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/986.png
115,bruxish,water,bruxish,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/779.png
116,budew,grass,budew,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/406.png
117,buizel,water,buizel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/418.png
118,bulbasaur,grass,bulbasaur,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
119,buneary,normal,buneary,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/427.png
120,bunnelby,normal,bunnelby,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/659.png
121,burmy,bug,burmy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/412.png
122,butterfree,bug,butterfree,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
123,butterfree,bug,butterfree-gmax,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10198.png
124,buzzwole,bug,buzzwole,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/794.png
125,cacnea,grass,cacnea,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/331.png
126,cacturne,grass,cacturne,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/332.png
127,calyrex,psychic,calyrex,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/898.png
128,calyrex,psychic,calyrex-ice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10193.png
129,calyrex,psychic,calyrex-shadow,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10194.png
130,camerupt,fire,camerupt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/323.png
131,camerupt,fire,camerupt-mega,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10087.png
